hdbscan_cluster,total_spend,order_frequency,weekend_shopper_ratio,avg_spend_per_order,cluster_size
6,71.25014124293784,2.0,0.0004700964446727159,35.62507062146892,1062
5,69.16565217391305,2.0,0.5812146307798481,34.58282608695652,805
4,41.21736204576043,1.0,0.0,41.21736204576043,743
7,103.6405529953917,3.0,0.0006790700339087436,34.5468509984639,651
10,134.9436790923825,4.0,0.3454964268578531,33.735919773095624,617
1,178.04870689655172,5.0,0.2556517696077454,35.60974137931035,580
8,108.81859582542695,3.0,0.43986585836680714,36.272865275142316,527
2,33.94068010075567,1.0,1.0,33.94068010075567,397
0,216.19958333333335,6.25,0.2593431039944843,34.63820767195767,360
11,139.91593959731543,4.0,0.000497824323327679,34.97898489932886,298
3,14.601730103806227,1.0,0.0,14.601730103806227,289
9,91.42828947368422,3.0,0.19077380952380954,30.47609649122807,228
